OBJECTID,HUC_12,pCanopy
104,010100040903,71.148135025446109
105,010100040904,63.355338668228967
106,010100040905,70.246675419675512
107,010100040906,75.146329689495161
108,010100040907,73.590073788598019
109,010100040908,75.666784239210827
110,010100040909,67.643249080147172
111,010100041001,52.834885732552749
112,010100041002,73.392030371364143
113,010100041003,74.229623059866967
114,010100041004,73.584438108116046
115,010100041005,74.403846832124344
116,010100041006,65.184797005470770
117,010100041007,52.183222632226325
118,010100041008,47.688720500932668
119,010100041009,29.425798330202628
120,010100041101,42.911586829221463
121,010100041102,30.966429012518947
122,010100041103,69.501546347160343
123,010100041104,69.429768365501019
124,010100041105,65.131635423400127
125,010100041106,64.819497206703915
126,010100041107,59.202479399755305
127,010100041108,57.079973020738173
128,010100041109,29.723866117960274
129,010100041110,37.941278236369925
130,010100041111,35.150944596399718
131,010100041112,34.907647498132938
132,010100041113,22.333327275480841
133,010100050101,71.455495194316754
134,010100050102,64.810559708240405
135,010100050201,71.199182282793871
136,010100050202,44.193080312032656
137,010100050203,65.752245027114910
138,010100050301,74.259017222842928
139,010100050302,65.831885070085306
140,010100050303,52.881472056376630
141,010100050304,61.070677818505843
142,010100050305,64.859314176927185
143,010100050306,51.006593946980196
144,010100050307,41.675262639391356
145,010100050308,45.187745844998048
146,010100060101,73.492649641262361
147,010100060102,73.023612768952958
148,010100060103,65.131350622721754
149,010100060104,72.294719131743264
150,010100060105,77.139159652683063
151,010100060106,75.184852109112654
152,010100060107,76.326820653307564
153,010100060108,68.564076938873299
154,010100060109,74.684951912502754
155,010100060201,73.533006693206175
156,010100060202,72.433743968416437
157,010100060203,68.666046184031799
158,010100060204,72.528545008238339
159,010100060205,72.575155933304217
160,010100060206,74.847173406037513
161,010100060207,76.289156157937214
162,010100060208,72.668429270444562
163,010100060305,66.280191502094553
164,010100060306,66.485177028629508
165,010100060307,72.733752620545076
166,010100060312,69.016002943069992
167,010100060313,71.687647385463009
168,010100070101,73.054414598891839
169,010100070102,66.612573835798344
170,010100070103,71.469090393625592
171,010100070204,63.885405405405407
172,010100070205,73.160109165340003
173,010100070206,68.409618401965716
174,010100070207,69.201853546910755
175,010100070208,73.239512989056635
176,010100070209,75.497722399428199
177,010100070301,71.899970579582231
178,010100070302,68.473483450227633
179,010100070303,68.321598745451254
180,010100070304,71.019697644779242
181,010100070305,71.268368799675670
182,010100070306,73.061380379992244
183,010100070401,68.429420980273051
184,010100070402,73.255966223013871
185,010100070403,75.180744066033881
186,010100070404,75.913478193925869
187,010100070405,78.179935915473777
188,010100070502,80.496359223300971
189,010100070503,75.796185346012209
190,010100070504,74.188748717329631
191,010100070505,69.793978185437609
192,010100070506,72.410091272974057
193,010100070507,74.501853406669980
194,010100070601,68.423649092102380
195,010100070602,77.126516736401669
196,010100070603,73.474769886806840
197,010100070604,69.533832187708455
198,010100070605,72.688566416839421
199,010100070606,71.966082141209043
200,010100070607,73.388297306824981
201,010100070701,66.003674773655248
202,010100070702,75.435815828559299
203,010100070703,72.400707196282639
204,010100080101,74.810821413976299
