OBJECTID,HUC_12,HUC12_Pop
1,010100020101,0.000000000000000
2,010100020102,0.000000000000000
3,010100020103,0.000000000000000
4,010100020104,0.000000000000000
5,010100020105,0.000000000000000
6,010100020201,0.000000000000000
7,010100020202,0.000000000000000
8,010100020203,0.000000000000000
9,010100020204,0.000000000000000
10,010100020301,0.728022809122000
11,010100020302,0.745874391298000
12,010100020303,0.429891007967000
13,010100020304,0.000000000000000
14,010100020305,0.000000000000000
15,010100020306,0.000000000000000
16,010100020307,0.000000000000000
17,010100020308,0.000000000000000
18,010100020401,0.000000000000000
19,010100020402,0.000000000000000
20,010100020403,0.000000000000000
21,010100020404,0.000000000000000
22,010100020405,0.000000000000000
23,010100020406,0.000000000000000
24,010100020501,0.000000000000000
25,010100020502,0.000000000000000
26,010100020503,0.000000000000000
27,010100020504,0.163613319699000
28,010100020505,0.020188138370900
29,010100020601,0.000000000000000
30,010100020602,0.500300230151000
31,010100020701,0.000000000000000
32,010100020702,0.000000000000000
33,010100020703,0.000000000000000
34,010100020704,0.000000000000000
35,010100020705,0.309079998166000
36,010100020706,0.000000000000000
37,010100020707,0.000000000000000
38,010100020708,0.000000000000000
39,010100020709,0.006818333580670
40,010100020710,0.000000000000000
41,010100020711,48.266957396700001
42,010100030101,0.000000000000000
43,010100030102,0.000000000000000
44,010100030103,0.000000000000000
45,010100030104,0.000000000000000
46,010100030105,0.000000000000000
47,010100030201,0.480400730739000
48,010100030202,0.000000000000000
49,010100030203,322.933971923999991
50,010100030204,0.000000000000000
51,010100030205,0.000000000000000
52,010100030206,5.664732536300000
53,010100030207,231.932606563999997
54,010100030301,66.176816566499994
55,010100030302,1181.103968480000049
56,010100030303,70.784567564100001
57,010100030304,124.498762169000003
58,010100030305,113.861419615000003
59,010100030306,179.172687811000003
60,010100030307,0.000000000000000
61,010100030308,0.000000000000000
62,010100030309,5.257278517480000
63,010100030310,922.160379304000003
64,010100030401,75.393086503399999
65,010100030402,777.561495240999989
66,010100030403,2005.665061400000013
67,010100040101,0.000000000000000
68,010100040102,0.000000000000000
69,010100040103,0.062574674677800
70,010100040104,0.053294925355700
71,010100040201,0.000000000000000
72,010100040202,0.000000000000000
73,010100040203,0.000000000000000
74,010100040301,0.000000000000000
75,010100040302,0.000000000000000
76,010100040303,0.000000000000000
77,010100040304,0.000000000000000
78,010100040305,0.000000000000000
79,010100040306,0.000000000000000
80,010100040401,5.683518797720000
81,010100040402,13.717090229200000
82,010100040501,0.289843023151000
83,010100040502,0.000000000000000
84,010100040503,0.000000000000000
85,010100040504,0.000000000000000
86,010100040505,12.585236711300000
87,010100040506,48.910233006299997
88,010100040601,0.192613702772000
89,010100040602,0.000000000000000
90,010100040603,14.719667085999999
91,010100040604,0.596021555019000
92,010100040605,9.355764489209999
93,010100040606,142.821558651999993
94,010100040701,0.000000000000000
95,010100040702,0.000000000000000
96,010100040703,0.000000000000000
97,010100040801,0.000000000000000
98,010100040802,0.000000000000000
99,010100040803,0.340977016836000
100,010100040804,0.005046741804110
