OBJECTID,HUC_12,PIMPV
1,010100020101,0.297221528298221
2,010100020102,0.250102716274823
3,010100020103,0.216097805734706
4,010100020104,0.195608408633363
5,010100020105,0.205231613734386
6,010100020201,0.312203688892920
7,010100020202,0.193198135289837
8,010100020203,0.191321657651861
9,010100020204,0.148316844614229
10,010100020301,0.166707260368000
11,010100020302,0.297270036180243
12,010100020303,0.315947641545969
13,010100020304,0.270497543312287
14,010100020305,0.361894483067952
15,010100020306,0.573812228271513
16,010100020307,0.198545803752101
17,010100020308,0.422076775347123
18,010100020401,0.151976281808091
19,010100020402,0.311072552659188
20,010100020403,0.272887795407378
21,010100020404,0.462913451989917
22,010100020405,0.128916291773779
23,010100020406,0.062684662112653
24,010100020501,0.211582851079192
25,010100020502,0.444740455918704
26,010100020503,0.311867245185354
27,010100020504,0.203167859185508
28,010100020505,0.412459125422602
29,010100020601,0.175101777491046
30,010100020602,0.386297370132127
31,010100020701,0.036878530728033
32,010100020702,0.164715398697263
33,010100020703,0.436348067199478
34,010100020704,0.194699674875697
35,010100020705,0.182820461473422
36,010100020706,0.204048011296776
37,010100020707,0.163601247957213
38,010100020708,0.327765964035758
39,010100020709,0.224180653606994
40,010100020710,0.516876754883804
41,010100020711,0.239453254807442
42,010100030101,0.337398558796117
43,010100030102,0.224814321980314
44,010100030103,0.031580612628290
45,010100030104,0.342527497448690
46,010100030105,0.423395604961145
47,010100030201,0.450870535714286
48,010100030202,0.240403197470134
49,010100030203,0.696977587762591
50,010100030204,0.318014271537262
51,010100030205,0.296247473926273
52,010100030206,0.030080530554240
53,010100030207,0.489130868652355
54,010100030301,0.719419636870759
55,010100030302,1.464503206422540
56,010100030303,0.393070133587786
57,010100030304,1.163655784765340
58,010100030305,0.943783112766288
59,010100030306,0.768980917580187
60,010100030307,0.121457785568215
61,010100030308,0.173093865632945
62,010100030309,0.131533589450732
63,010100030310,0.460577565742469
64,010100030401,0.254425018442951
65,010100030402,2.086658204398090
66,010100030403,2.257410464918910
67,010100040101,0.183059997546113
68,010100040102,0.144137667847032
69,010100040103,0.062928965783424
70,010100040104,0.225430791755828
71,010100040201,0.268438836182567
72,010100040202,0.138007949898482
73,010100040203,0.204286004468820
74,010100040301,0.252794585170752
75,010100040302,0.159034854597251
76,010100040303,0.142291193758038
77,010100040304,0.211907604267334
78,010100040305,0.344193223750419
79,010100040306,0.266716683860077
80,010100040401,0.141465322440466
81,010100040402,0.201990384698378
82,010100040501,0.100749203195497
83,010100040502,0.247094106581960
84,010100040503,0.319743277007425
85,010100040504,0.101319947945715
86,010100040505,0.169965156191909
87,010100040506,0.249712145939506
88,010100040601,0.075914139825279
89,010100040602,0.291853605849119
90,010100040603,0.196973108704701
91,010100040604,0.261606371749352
92,010100040605,0.206293784552027
93,010100040606,0.400452997618660
94,010100040701,0.300405170750531
95,010100040702,0.221593325494709
96,010100040703,0.298320356924154
97,010100040801,0.346097051784714
98,010100040802,0.170720955396145
99,010100040803,0.104122524182404
100,010100040804,0.255702946711884
101,010100040805,0.434387728807736
102,010100040901,0.298164396323089
103,010100040902,0.252794382347059
104,010100040903,0.927489398250040
105,010100040904,0.903439617041477
106,010100040905,0.152665241203391
107,010100040906,0.226905410665629
108,010100040907,0.371142501233930
109,010100040908,0.078628802876192
110,010100040909,0.248834177205065
111,010100041001,1.077027679080580
112,010100041002,0.174861906053296
113,010100041003,0.195929317340310
114,010100041004,0.123917868218763
115,010100041005,0.124719352070623
116,010100041006,0.369549774407219
117,010100041007,1.343790731799290
118,010100041008,5.902427887033980
119,010100041009,2.142565935961360
120,010100041101,2.322335408154870
121,010100041102,2.198289894662000
122,010100041103,0.674675085958956
123,010100041104,0.338442810801988
124,010100041105,0.187367495734009
125,010100041106,0.315186054307744
126,010100041107,0.374189173251563
127,010100041108,0.802424242424242
128,010100041109,5.422297003530370
129,010100041110,1.356400913975170
130,010100041111,1.453208217093580
131,010100041112,2.227457776516200
132,010100041113,3.337649118767910
133,010100050101,0.239768830400195
134,010100050102,0.726103577502521
135,010100050201,0.147585384549868
136,010100050202,0.762977631392835
137,010100050203,0.398905852000938
138,010100050301,0.112366590780927
139,010100050302,1.250605725225090
140,010100050303,1.385928107914220
141,010100050304,0.704979757085020
142,010100050305,0.910893923917417
143,010100050306,0.980434636946374
144,010100050307,4.047864591954970
145,010100050308,1.190113394755490
146,010100060101,0.021707137601177
147,010100060102,0.346730516202075
148,010100060103,0.132346658818839
149,010100060104,0.282502922498499
150,010100060105,0.163473053892216
151,010100060106,0.342900510556092
152,010100060107,0.322250034765679
153,010100060108,0.245483979163672
154,010100060109,0.227692876817789
155,010100060201,0.173275013668671
156,010100060202,0.274337739263972
157,010100060203,0.583928751132132
158,010100060204,0.275533946632236
159,010100060205,0.345753258970568
160,010100060206,0.256315495548766
161,010100060207,0.180807000486145
162,010100060208,0.310615297082013
163,010100060305,0.031682338144577
164,010100060306,0.019322033898305
165,010100060307,0.000699300699301
166,010100060312,0.229160918483093
167,010100060313,0.175953036881049
168,010100070101,0.172671331198490
169,010100070102,0.086386395554741
170,010100070103,0.092850427541747
171,010100070204,0.000000000000000
172,010100070205,0.346120591581342
173,010100070206,0.174958184697820
174,010100070207,0.044363053679753
175,010100070208,0.335359548238002
176,010100070209,0.460844048444753
177,010100070301,0.951800847457627
178,010100070302,0.017663712456918
179,010100070303,0.255116400627237
180,010100070304,0.295199510936577
181,010100070305,0.249820856119178
182,010100070306,0.090716031185757
183,010100070401,0.101569743278238
184,010100070402,0.335466948215847
185,010100070403,0.298489286772208
186,010100070404,0.344827586206897
187,010100070405,0.170216049382716
188,010100070502,0.000000000000000
189,010100070503,0.225413666098620
190,010100070504,0.540479352813330
191,010100070505,0.269086133001521
192,010100070506,0.182767551695960
193,010100070507,0.148301091482326
194,010100070601,0.277947932618683
195,010100070602,0.389653188261757
196,010100070603,0.444696785825734
197,010100070604,0.389591185850971
198,010100070605,0.382341997554882
199,010100070606,0.322748880786449
200,010100070607,0.294258507055177
201,010100070701,0.468472626571043
202,010100070702,0.169516399964636
203,010100070703,0.634876634428218
204,010100080101,0.335125858123570
205,010100080102,0.599258797157841
206,010100080401,1.213313778212340
207,010100080403,0.248411963331121
208,010100080404,0.380458146533194
209,010100080405,0.539953425324111
210,010100080406,0.330287749213693
211,010100080407,0.349508196721311
212,010100080408,0.264405853421580
213,010100080503,0.799225747684834
214,010100080504,2.296231349023230
215,010100081107,3.941976980365610
216,010100081108,5.460195658312160
217,010100090601,2.141088669075400
218,010100090603,0.481845781506846
219,010100090604,3.997430753528310
220,010100090605,0.751375393626015
221,010100090607,1.854197555039580
222,010100090608,0.910786934790189
223,010100100101,0.904422013938957
224,010100100102,0.576600033596506
225,010100100201,2.092310060021550
226,010100100202,1.440813584168090
227,010100100203,1.353420097459240
228,010100100204,0.612558784430881
229,010100100205,0.736823840328881
230,010100100206,2.205007792633910
231,010100100207,0.543716881150643
232,010100110103,0.383322721923173
233,010200010101,0.383476197765192
234,010200010102,0.051462033661677
235,010200010103,0.149312157476792
236,010200010104,0.205961477304958
237,010200010105,0.680600479966611
238,010200010106,0.227398667244788
239,010200010201,0.460705314009662
240,010200010202,0.055184194890077
241,010200010203,0.226965483564214
242,010200010204,0.389451116899882
243,010200010205,0.143828960155491
244,010200010206,0.188946391953911
245,010200010207,0.167289158839593
246,010200010208,0.036529680365297
247,010200010209,0.107894326683292
248,010200010210,0.368389643775248
249,010200010301,0.436119532265050
250,010200010302,0.299538548114800
251,010200010303,0.061665607120153
252,010200010304,0.238469422617014
253,010200010305,0.306807587856187
254,010200010306,0.471257997086210
255,010200010307,0.352710393541877
256,010200010308,0.344571517594283
257,010200010401,0.304546979354091
258,010200010402,0.261704221358640
259,010200010403,0.263712595241136
260,010200010404,0.383076675183574
261,010200010501,0.258774992575469
262,010200010502,0.365212944700124
263,010200010503,0.346592918118907
264,010200010504,0.131505598539094
265,010200010505,0.354155854525131
266,010200010506,0.252924937557513
267,010200010507,0.355157429905129
268,010200010508,0.174560654676047
269,010200010509,0.263275463309788
270,010200010601,0.266075778475626
271,010200010602,0.084420895940339
272,010200010701,0.002160224295629
273,010200010702,0.173586154008090
274,010200010703,0.063790687220709
275,010200010704,0.228893775695573
276,010200010801,0.442497399855022
277,010200010802,0.366855715346702
278,010200010803,0.216704656463693
279,010200010804,0.430753655123128
280,010200010805,0.420223909174870
281,010200010901,0.022695839473983
282,010200010902,0.151072884200432
283,010200010903,0.071978292261064
284,010200010904,0.414735183204818
285,010200010905,0.590092447235304
286,010200010906,0.188018717143902
287,010200010907,0.212653094662680
288,010200011001,0.058345882422417
289,010200011002,0.087522143489814
290,010200011003,0.234521638757382
291,010200011004,0.469060792625876
292,010200011005,4.965286010669830
293,010200011006,0.483373988958788
294,010200011007,2.619232375736760
295,010200020101,0.258278626971246
296,010200020102,0.251418448205693
297,010200020103,0.371666323620218
298,010200020104,0.160607228502912
299,010200020105,0.322284104239527
300,010200020106,0.297526349395892
301,010200020107,0.151992907924699
302,010200020108,0.146877508154169
303,010200020201,0.253593833190583
304,010200020202,0.236387856692140
305,010200020203,0.000000000000000
306,010200020204,0.025126440901719
307,010200020205,0.066694508870974
308,010200020301,0.143911120326215
309,010200020302,0.153193860798578
310,010200020303,0.088672023726029
311,010200020304,0.074434620512887
312,010200020401,0.140303068208216
313,010200020402,0.151855405440448
314,010200020403,0.330659577393775
315,010200020404,0.194984780402957
316,010200020405,0.251240535688400
